trail,badlands,beach,boardwalk,botanical_garden,bridge,canal/natural,cemetery,cliff,coast,creek,dam,desert/sand,desert_road,driveway,farm,field,field_road,forest,forest_path,golf_course,highway,hot_spring,islet,japanese_garden,lagoon,lake/natural,lawn,marsh,mountain,mountain_path,ocean,orchard,picnic_area,pond,river,sky,swamp,swimming_hole,trench,valley,vineyard,waterfall,watering_hole,young_forest,elevation,length,cluster
3-Lakes  Charcoal Burners  and Fahnestock Loop via Appalachian Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.061748113,0,0.311917914,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10596818,0,0,0,0.062989531,0,0,0,0,0,0,0,0,0.007844059,0.012264151,4
Acra Point via Black Dome Range Trail to Escarpment Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.360979983,0.063690072,0,0,0,0,0,0,0,0,0,0.196870502,0,0,0,0,0.015027102,0.011556604,0
Acra Point via Black Dome Range and Escarpment Trails,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.173475089,0,0,0,0,0,0,0,0,0,0,0.331568458,0,0,0,0,0.013778516,0.008254717,0
Africa Loop,0.097723123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05327813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617340768,0,0,0,0.100486501,0.036664365,0.026650943,0
Alander Mountain,0.125520324,0,0,0,0,0,0,0,0,0,0,0,0.062361955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212649363,0,0,0,0,0,0,0,0,0,0.543994974,0,0,0,0,0.024663249,0.011792453,0
Albany County Helderberg-Hudson Rail Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211814688,0.29190781,0,0,0,0,0,0,0,0,0,0,0.009364415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007564963,0.04245283,4
Albert Family Community Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004606081,0,0.368041261,0.159416098,0,0,0,0,0,0,0,0,0,0,0.024117609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007462138,0.008962264,4
Alder Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122396842,0,0.045581365,0,0,0,0,0,0.078437401,0.115020652,0,0,0,0,0.046402665,0,0,0,0,0.001101694,0.004481132,2
Algonquin Peak and Wright Peak via Algonquin Trail,0,0,0,0,0,0,0,0,0,0,0,0,0.045376748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109209972,0.220786876,0,0,0,0,0,0,0,0,0,0.302614486,0,0,0,0,0.059697108,0.021226415,0
Algonquin Peak to Iroquois Peak and Mount Marshall Loop via Algonquin Trail,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091403313,0.240828362,0,0,0,0,0,0,0,0,0,0.319123072,0,0,0,0,0.056230445,0.021698113,0
