trail,cluster,latitude,longitude
3-Lakes  Charcoal Burners  and Fahnestock Loop via Appalachian Trail,4,41.45326,-73.83646
Acra Point via Black Dome Range Trail to Escarpment Trail,0,42.28902,-74.11579
Acra Point via Black Dome Range and Escarpment Trails,0,42.28893,-74.11504000000001
Africa Loop,0,41.2643359,-74.15438890000001
Alander Mountain,0,42.065220000000004,-73.51533
Albany County Helderberg-Hudson Rail Trail,4,42.6274,-73.76749000000001
Albert Family Community Forest,4,42.5277605,-73.4967864
Alder Lake,2,42.049929999999996,-74.68524000000001
Algonquin Peak and Wright Peak via Algonquin Trail,0,44.1824636,-73.9632574
Algonquin Peak to Iroquois Peak and Mount Marshall Loop via Algonquin Trail,0,44.18291,-73.96351999999999
Allen Mountain Trail,2,44.0810497,-74.05514720000001
Alley Pond Park Loop,4,40.74242,-73.73809
Ampersand Mountain Trail,2,44.251208899999995,-74.239769
Anchor Diamond  Ballston Spa,4,42.939409999999995,-73.87447
Ann Lee Pond Preserve,2,42.73896,-73.81451
Anthony Wayne Recreation Area Trail,2,41.29765,-74.02724
Anthony's Nose,0,41.3225243,-73.97605420000001
Anthony's Nose via Camp Smith Trail,0,41.301629999999996,-73.95128000000001
Anthony's Nose via Camp Smith Trail,0,41.31221,-73.9649
Anthony's Nose via Camp Smith Trail,0,41.301629999999996,-73.95128000000001
Anthony's Nose via Camp Smith Trail,0,41.31221,-73.9649
Appalachian  Long Path  White Bar  Dunning and Island Pond Road Loop,4,41.264790000000005,-74.15437
Appalachian Trail  Albany Post to Bear Mountain Bridge,2,41.350590000000004,-73.92594
Appalachian Trail  Bear Mountain to Harriman State Park,2,41.26491,-74.15434
Appalachian Trail  Bull's Bridge to Ten Mile Hill,2,41.67562,-73.50825
Appalachian Trail  Canopus Lake to Graymoor,2,41.45255,-73.83819
Appalachian Trail  Fitzgerald Falls to Little Dam Lake,2,41.27368,-74.2542
Appalachian Trail  Fort Clinton to Dennytown,2,41.3225565,-73.9763546
Appalachian Trail  Highway 17A to Bellvale Mountain,2,41.24408,-74.2873
Appalachian Trail  Highway 17A to Little Dam Lake,2,41.24419,-74.28715
Appalachian Trail  Long Path to Elk Pen,2,41.264720000000004,-74.15434
Appalachian Trail  Metro North to Manitou,4,41.59282,-73.58821999999999
Appalachian Trail  Shenandoah Mountain to Cat Rocks,0,41.51419,-73.7913
Appalachian Trail via Iron Mine Loop,2,41.42068,-73.86871
Aquaterra Pond and Overlook,3,42.03117,-75.9354
Argyle Lake to Belmont Lake Loop,4,40.69658,-73.32795
Armstrong Mountain via Weld Trail,0,44.14954,-73.76809
Artist's Rock  Sunset Rock  and Newman's Ledge via Mary's Glen Trail,2,42.19869,-74.03393
Artists Rock and Sunset Rock via Escarpment Trail,4,42.19856,-74.03390999999999
Artpark Trail,3,43.1666016,-79.0456653
Ashokan High Point Trail,2,41.9357,-74.32803
Astoria Park Loop Trail,2,40.77747,-73.92430999999999
Aunt Sarah's Falls,1,42.35232,-76.85566999999999
Ausable Chasm,2,44.524190000000004,-73.46395
Ausable River Trail,3,44.36608,-73.84125999999999
Avalanche Lake Mount Marcy Loop Trail,0,44.18287,-73.96369
Avalanche Lake and Wright Peak Loop Via Avalanche Pass Trail,0,44.18287,-73.96273000000001
Avalanche Pass Trail to Mount Colden Trail Loop,0,44.18303,-73.96379
Avalanche Pass and Avalanche Lake Trail,2,44.18287,-73.96273000000001
Avalon East Farm Preserve,2,40.91578270000001,-73.146801
Azure Mountain Firetower,2,44.5377,-74.48576
Bailey Mountain,2,41.30842,-73.56662
Baker Mountain,0,44.331540000000004,-74.11578
Baker Woods Preserve,2,44.05622,-75.457
Baker Woods Preserve Loop,3,44.05622,-75.457
Balanced Rock,0,44.21918,-73.88701999999999
Bald Hill and Lambs Hill via Wilkinson Memorial Trail,2,41.48856,-73.90701999999999
Bald Mountain (Rondaxe Fire Tower),2,43.74558,-74.89952
Bald Mountain Via Cornel Mine Loop Trail,0,41.312709999999996,-73.9888
Bald Peak,2,44.14989,-73.62671999999999
Bald Rocks Shelter via Kanawauke Road,0,41.2303,-74.13993
Bald Rocks Shelter via White Bar  Dunning  Ramapo Dunderberg and Nurian Loop,4,41.230270000000004,-74.13989000000001
Balm of Gilead Trail,0,43.71222,-74.10673
Balsam Lake Mountain Wild Forest Trail,2,42.02428,-74.59966
Balsam Mountain Loop Trail,2,42.13367,-74.48295999999999
Balsam Mountain Via Oliverea-Mapledale and Pine Hill-West Branch Trail,2,42.070353600000004,-74.473958
Balsam Mountain from Rider Hollow Rd,2,42.102340000000005,-74.51953
Baltimore Woods Nature Center  Boundary Trail,2,42.965309999999995,-76.34406
Barberville Falls,1,42.68777,-73.54145
Barberville Falls Ridge Trail,1,42.68824,-73.54156
Bare Hill Unique Area Trail,2,42.74673,-77.30265
Basalm Lake Mountain via Dry Brook Ridge Trail,2,42.07045,-74.57363000000001
Bash Bish Falls from Taconic State Park,1,42.11715,-73.50782
Basin Mountain Saddleback Mountain Loop via Phelps Trail,2,44.1890819,-73.81587270000001
Baxter Mountain,0,44.22078,-73.74941
Baxter Preserve,2,41.33982,-73.57845
Bayard Cutting Arboretum Loop,3,40.73682,-73.16223000000001
Beacon Fire Tower via Breakneck Ridge  Wilkinson and Notch Trails,0,41.44559,-73.97938
Beacon Reservoir to South and North Beacon Mountains Loop via Fishkill Ridge Trail,2,41.497,-73.94963
Beacon Reservoir via the Fishkill Ridge Trail (White),2,41.496990000000004,-73.94959
Bear Caves Mount Seneca Trail,2,42.00945,-78.80068
Bear Cub  Cannonball  Fox  Raccoon and Chalet Loop,4,42.69449,-77.52498
Bear Den,0,44.35931,-73.85853
Bear Den Trail to Dial Mountain and Nippletop,0,44.14917,-73.76809
Bear Hill Preserve Trail,0,41.67208,-74.39206
Bear Mountain Loop Trail,2,41.31045,-73.99065999999999
Bear Mountain Trail from Cranberry Lake Campground,3,44.19375,-74.82507
Bear Swamp Yellow Loop Trail,2,42.7365955,-76.2850499
Bearpen Mountain Trail,2,42.24123,-74.46502
Beatty Point Trail,2,43.28349,-77.69179
Beaver Lake Nature Center  Lake Loop Trail,2,43.17938,-76.4027
Beaver Meadow Nature Center,2,42.672509999999996,-78.38335
Beaver Meadow Trail to West River Trail Loop,2,44.149640000000005,-73.76849
Beaver Tree Trail,3,42.60917,-73.8899
Bee Trail Loop Trail,4,43.10488,-73.79476
Beehunter Trail,4,42.0990026,-78.73967890000002
Belfrey Mountain,0,44.102135100000005,-73.54625229999999
Belleayre  Balsam  Haynes and Eagle Mountains,4,42.10195,-74.51675
Belmont Lake Trail,3,40.739030799999995,-73.34152940000001
Bennett Hill,2,42.571459999999995,-73.96571999999999
Berlin Mountain via Taconic Crest Trail,2,42.7232,-73.27793
Berlin Mountain via Taconic Crest Trail,2,42.68266,-73.29735
Berlin Mountain via Taconic Crest Trail,2,42.7232,-73.27793
Berlin Mountain via Taconic Crest Trail,2,42.68266,-73.29735
Berry Pond Trail,2,43.40141,-73.73316
Bethpage Bikeway Trail (from Massapequa Park),2,40.6669893,-73.4705172
Betty Allen Pond Trail,2,40.88564,-73.36213000000001
Big Crow,0,44.2615,-73.73338000000001
Big Crow and Nun-Da-Ga-O Ridge Loop Trail,0,44.260909999999996,-73.73294
Big Indian Summit and Fir Mountain,4,41.99139470000001,-74.4850731
Big Slide Mountain via The Brothers,0,44.18894,-73.81599
Big Slide Mountain via The Brothers  Slide Mountain Brook and Phelps Trail Loop,0,44.18883579999999,-73.81637690000001
Big Slide Yard Mountain Loop Trail,0,44.18873,-73.81699
Birdsong Lake Loop,2,42.75262,-78.72066
Birdsong and Swamp Trails Loop,2,43.022059999999996,-77.58305
Black Bear Mountain Trail,0,43.76466,-74.79414
Black Creek Ridge and Wetlands Loop Trail,2,43.08085,-77.79954000000001
Black Creek Trail,3,43.0808,-77.80025
Black Diamond Trail,4,42.53199,-76.61509000000001
Black Dome Range Trail,4,42.288865799999996,-74.1149282
Black Dome and Blackhead Mountain,0,42.28883,-74.11515
Black Dome and Thomas Cole Mountain from Batavia Kill and Black Dome Range Trails,2,42.288959999999996,-74.1151
Black Dome via Black Dome Range Trail,0,42.2638282,-74.17653320000001
Black Mountain Loop,0,41.29761,-74.02723
Black Mountain Summit Trail,0,43.61175,-73.49347
Black Mountain and Lake George Trail,2,43.6115,-73.49306999999999
Black Mountain and Owl Lake Loop,0,41.2952846,-74.0599537
Black Mountain from Lake George,0,43.59675,-73.56475
Black River Trail  Black River to Watertown,2,44.003063899999994,-75.8044624
Black River Trail  Great Bend to Felts Mills,2,44.03676,-75.72185
Black Rock Forest Trail,2,41.418490000000006,-74.01032
Black Rock Reservoir Loop,0,41.41859,-74.01061
Black Rock and Sphagnum Pond Loop,2,41.40235,-74.04706999999999
Blackhead  Black Dome and Thomas Cole Loop Trail,2,42.26399,-74.17667
Blackhead Mountain Loop Trail,2,42.288999999999994,-74.11505
Blacksnake Mountain Trail,4,42.00444,-78.7762
Bloomingdale Brook Waterfall Trail,4,42.68316,-73.70223
Blue Cut Nature Center Trails,2,43.0654,-77.03796
Blue Disc  Victory and White Bar Loop,2,41.180026700000006,-74.1637444
Blue Disc Loop Trail,2,41.18014,-74.16391999999999
Blue Disk Ramapo Dunderberg Loop Trail,2,41.18016,-74.16552
Blue Ledges Trail,3,43.83278,-74.10864000000001
Blue Loop and Orange Trail,4,42.825590000000005,-74.05154
Blue Mountain Trail to Blue Mountain Fire Tower,2,43.87477,-74.43146999999999
Blue Mountain Twin Summits Trail,4,41.270081700000006,-73.92112259999999
Blue Trail East to Mullet Falls Trail,1,41.58335,-74.6218872
Blue Trails North,2,44.6850097,-73.4811115
Blue and Orange Trail Loop,1,42.7432,-74.12873
Blueberry Hill East,2,42.70252,-73.8615
Blueberry Pass to Castle Point to Rainbow Falls Loop,2,41.73383,-74.24485
Blueberry Trail,2,44.19165,-74.2635
Blydenburgh County Park Stump Pond Loop,3,40.835437299999995,-73.22015400000001
Bob Cameron Loop Trail,2,42.38604,-76.66881
Bog Meadow Brook Nature Trail,2,43.076840000000004,-73.70043000000001
Bond Lake,3,43.18181,-78.913
Bonticou Crag Trail,0,41.795359999999995,-74.12778
Bonticou Crag and Table Rocks Loop,2,41.79493,-74.1282
Boreas Ponds Trail,3,43.99998,-73.94323
Boulder Rock and Catskill Mountain House,2,42.19604,-74.03878
Bowman Lake Park Loop,4,42.51739,-75.68075
Boy Scout Trail via Ward Hill Trail,4,42.70203,-78.74773
Boyce Thompson  Lower Otter and Thruway Trail,4,40.98576,-73.8487
Bramley Mountain Trail,4,42.299170000000004,-74.83576
Breakneck Ridge  Breakneck Bypass  Wilkinson Trail Loop,2,41.44551,-73.9794
Breakneck Ridge  Notch  Brook Loop,2,41.44546,-73.97932
Breakneck Ridge  Notch Trail  Bull Hill  Undercliff  Cold Spring,2,41.44343,-73.97797
Breakneck Ridge  Notch Trail  Wilkinson Trail to Sugarloaf Mountain,3,41.44636,-73.97921
Breakneck Ridge  Undercliff  and Brook Trail Loop,2,41.44542,-73.97926
Breakneck Ridge Trail to Casino Trail,4,41.4432185,-73.9781101
Breakneck Ridge Trail to Peak #4,3,41.44543,-73.97934000000001
Breakneck Ridge Trail to South Beacon Mountain,2,41.44563,-73.97908000000001
Breakneck Ridge via Diltz Road and Red Arrow Loop,4,41.18529,-74.0748
Bronx River Pathway,3,41.072309999999995,-73.76885
Bronx River Pathway,3,40.94154,-73.83771999999999
Bronx River Pathway,3,41.072309999999995,-73.76885
Bronx River Pathway,3,40.94154,-73.83771999999999
Brooklyn Botanical Gardens,2,40.66964,-73.96219
Brooklyn Bridge Walk,2,40.71242,-74.00478000000001
Brooklyn Bridge Walk via Brooklyn,2,40.6997392,-73.9897442
Broomstick Lake Trail,2,43.2043938,-74.5288467
Brothers Trail  First Brother,0,44.18912,-73.81598000000001
Buck Mountain Trail,2,43.50931,-73.63035
Buck Mountain via Shelving Rock Road,0,43.53568,-73.5713
Buckhorn Island State Park,3,43.0590883,-78.9693296
Bull Hill (Short Trail),0,41.42658,-73.96537
Bull Hill Full Loop,2,41.42709,-73.96576999999999
Bull Hill Short Loop,2,41.42682,-73.96555
Bull Hill via Lone Star  Split Rock  Undercliff  Washburn  and Nelsonville Trails Loop,0,41.433659999999996,-73.93692
Bull Hill via the Washburn  Notch  Brook and Undercliff Trails,0,41.42666,-73.96552
Bull Wheel to High Peter's Kill Trail,1,41.73411,-74.23844
Bumps Pond Loop,0,43.54951,-73.55608000000001
Burnt Hill Trail,2,42.48425,-76.79602
Butter Hill via Orange and Yellow Trail,0,41.42318,-74.0013
Buttermilk Brook - Bear Slides,2,43.40074,-73.88014
Buttermilk Falls  Gorge and Rim Trail Loop,1,42.41729,-76.52088
Calamity Brook Trail to Lake Colden,2,44.08911,-74.05623
Calcium Trail,3,44.012517100000004,-75.88260629999999
Calverton Pine Barrens State Forest Loop,2,40.92018,-72.82389
Camillus Forest Unique Area Trails,2,43.0698126,-76.2778187
Canadice Lake Walking Path,3,42.743840000000006,-77.57365
Canadice Lake via Rob's trail,2,42.72144,-77.58921
Candlewood Hill Trail,0,41.41471,-73.85412
Carmans River,3,40.80169,-72.88488000000001
Carriageway Circuit Trail,1,41.734317299999994,-74.2385995
Cascade Lake Loop (Red Trail),3,41.2061643,-74.34583959999999
Cascade Lake Trail,3,43.78158,-74.83191
Cascade Mountain,2,44.2189388,-73.88747690000001
Cascade Mountain and Porter Mountain via Cascade Mountain Trail,2,44.21897,-73.88768
Cascade and Stephens Pond,3,43.849940000000004,-74.42366
Cascade-Porter-Blueberry Hiking Trail,2,44.218262100000004,-73.7900162
Cascades of Attica (5 Falls) Trail,1,42.81602,-78.25366
Cascadilla Falls (9 falls),1,42.4430312,-76.4945626
Casey Park Trail Loop,2,43.236059999999995,-77.28813000000001
Casino  fire tower  Scofield Ridge  Lambs Hill  and Rainbow Falls Loop,2,41.4926352,-73.9595479
Castle Point Carriage Road to Upper Awosting Carriageway Loop,2,41.72885,-74.23716
Castle Point via Mossy Glen Trail Loop,2,41.73425,-74.24455999999999
Castle Rock Trail,2,43.872859999999996,-74.45116999999999
Castle Rock and Chub Pond Loop,3,43.87292,-74.45115
Cat Mountain Trail,3,44.131859999999996,-74.92183
Cat and Thomas Mountain Trail,2,43.60387,-73.6929
Cat's Rock via Appalachian Trail,2,41.60285,-73.61156
Catamount Mountain Trail,2,44.44318,-73.87929
Catfish Loop via Appalachian Trail,4,41.42068,-73.86861999999999
Catharine Valley Trail,4,42.375032,-76.86318399999999
Cathedral Pines Trail,4,40.8655458,-72.9387689
