trail,beach,boardwalk,botanical_garden,bridge,canal/natural,cemetery,cliff,coast,creek,dam,desert/sand,desert_road,driveway,farm,field,field_road,forest,forest_path,golf_course,highway,hot_spring,islet,japanese_garden,lagoon,lake/natural,lawn,marsh,mountain,mountain_path,ocean,orchard,picnic_area,pond,river,sky,swamp,swimming_hole,trench,valley,vineyard,waterfall,watering_hole,young_forest,elevation,length,cluster,latitude,longitude
3-Lakes  Charcoal Burners  and Fahnestock Loop via Appalachian Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06174811287979695,0.0,0.311917913638498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10596817997358908,0.0,0.0,0.0,0.06298953054438268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007844058933266744,0.012264150943396229,0,41.45326,-73.83646
Acra Point via Black Dome Range Trail to Escarpment Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31082163211124303,0.06369007194495198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19687050216451346,0.0,0.0,0.0,0.0,0.015027101664291906,0.011556603773584908,1,42.28902,-74.11579
Acra Point via Black Dome Range and Escarpment Trails,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14937063733598405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3315684583676328,0.0,0.0,0.0,0.0,0.013778515504502254,0.008254716981132075,1,42.28893,-74.11504000000001
Africa Loop,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05327812992799813,0.0,0.0,0.0,0.0,0.0,0.0,0.06404831243279299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6173407678727146,0.0,0.0,0.0,0.10048650065891232,0.0366643653509996,0.026650943396226416,1,41.2643359,-74.15438890000001
Alander Mountain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062361955364840974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08226676278231802,0.2126493632728864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5439949741168112,0.0,0.0,0.0,0.0,0.02466324896808026,0.01179245283018868,1,42.065220000000004,-73.51533
Albany County Helderberg-Hudson Rail Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21181468795975347,0.29190780970191504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009364414729820187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00756496320343141,0.042452830188679236,0,42.6274,-73.76749000000001
Albert Family Community Forest,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0046060807984343475,0.0,0.3680412612499345,0.1594160980495101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02411760919930647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007462138460860497,0.008962264150943396,0,42.5277605,-73.4967864
Alder Lake,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1223968416722692,0.0,0.04558136462592249,0.0,0.0,0.0,0.0,0.0,0.07843740087468926,0.1150206522942066,0.0,0.0,0.0,0.0,0.04640266462897411,0.0,0.0,0.0,0.0,0.0011016936704026322,0.004481132075471698,2,42.049929999999996,-74.68524000000001
Algonquin Peak and Wright Peak via Algonquin Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045376748373179975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09403519105192548,0.22078687579210984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302614486218412,0.0,0.0,0.0,0.0,0.05969710768688397,0.021226415094339614,1,44.1824636,-73.9632574
Algonquin Peak to Iroquois Peak and Mount Marshall Loop via Algonquin Trail,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07870277613651927,0.2408283617748295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3191230719257325,0.0,0.0,0.0,0.0,0.05623044493735036,0.02169811320754717,1,44.18291,-73.96351999999999
